Con,Contp,Reg,Dat,Status,Agtp,Stage,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1994-03-12,Multiparty signed/agreed,Intra,SubPar,1,0,1,0,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1994-03-18,Multiparty signed/agreed,Intra,SubPar,1,1,1,1,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1994-08-14,Multiparty signed/agreed,Intra,Cea,1,1,0,0,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1996-12-12,Multiparty signed/agreed,InterIntra,Imp,1,0,0,0,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1997-08-06,Multiparty signed/agreed,Intra,Imp,1,0,1,0,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1997-02-28,Multiparty signed/agreed,InterIntra,Imp,1,0,0,0,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1993-06-15,Multiparty signed/agreed,Intra,Cea,1,0,0,1,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1996-04-25,Multiparty signed/agreed,Intra,Imp,1,0,1,0,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1995-12-21,Multiparty signed/agreed,InterIntra,Imp,2,1,0,0,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1995-12-15,Multiparty signed/agreed,InterIntra,Imp,1,0,0,0,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1995-12-09,Multiparty signed/agreed,InterIntra,Pre,3,1,0,1,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1995-11-21,Multiparty signed/agreed,Intra,SubComp,3,1,1,1,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1995-10-05,Multiparty signed/agreed,Intra,Cea,1,1,0,0,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1998-12-09,Multiparty signed/agreed,Intra,Imp,2,0,1,1,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1993-06-09,Multiparty signed/agreed,Intra,Cea,1,0,1,0,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1993-05-02,Multiparty signed/agreed,Intra,SubComp,1,0,0,1,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1993-05-12,Multiparty signed/agreed,Intra,Cea,1,0,1,0,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1993-05-25,Multiparty signed/agreed,Intra,Pre,1,0,1,0,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1992-03-18,Agreement with subsequent status,Intra,Pre,2,0,0,1,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1992-04-11,Multiparty signed/agreed,Intra,Pre,1,0,1,0,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1992-05-22,Multiparty signed/agreed,Intra,Pre,2,1,1,0,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1994-12-21,Multiparty signed/agreed,Intra,Pre,1,0,0,1,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1992-10-01,Multiparty signed/agreed,Intra,Pre,1,0,0,0,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1993-04-18,Multiparty signed/agreed,Intra,Cea,1,0,0,0,1
